blink_rate,gaze_center,head_angle,face_detected,typing_speed,mouse_movement,mouse_click_rate,idle_time,focus_score,productivity_score,cognitive_load
0.0,1,0.142181396484375,1,0.0,0.0,0.0,0.3161153793334961,80,40,Low
0.0,1,0.14421436190605164,1,0.0,5.6,0.0,0.0,90,50,Low
0.0,1,0.14583316445350647,1,0.0,5.2,0.0,0.0514531135559082,90,50,Low
0.0,1,0.14541155099868774,1,0.0,0.0,0.0,0.15921235084533691,80,40,Low
0.0,1,0.146375834941864,1,0.0,0.0,0.0,0.25568056106567383,80,40,Low
0.0,1,0.1466226577758789,1,0.0,0.0,0.2,0.08695840835571289,80,40,Low
0.0,1,0.14456039667129517,1,0.0,13.2,0.0,0.0010080337524414062,90,58,Low
0.0,1,0.14605170488357544,1,0.0,9.0,0.0,0.014551639556884766,90,54,Low
0.0,1,0.14460477232933044,1,0.0,0.0,0.0,0.10820388793945312,80,40,Low
0.0,1,0.14604675769805908,1,0.0,8.4,0.0,0.0009992122650146484,90,53,Low
0.0,1,0.144545316696167,1,0.0,15.8,0.0,0.0009930133819580078,90,60,Low
0.0,1,0.14403760433197021,1,0.0,17.2,0.0,0.0,90,62,Low
0.0,1,0.14430522918701172,1,0.0,16.0,0.0,0.0010058879852294922,90,61,Low
0.0,1,0.14479279518127441,1,0.0,17.0,0.0,0.0010006427764892578,90,62,Low
0.0,1,0.14702606201171875,1,0.0,16.8,0.0,0.0,90,61,Low
0.0,1,0.1466653048992157,1,0.0,19.8,0.0,0.000997304916381836,90,64,Low
0.0,1,0.1455698013305664,1,0.0,16.8,0.0,0.0010068416595458984,90,61,Low
0.0,1,0.14578834176063538,1,0.0,12.8,0.0,0.02663254737854004,90,57,Low
0.0,1,0.1480621099472046,1,0.0,14.6,0.0,0.0020110607147216797,90,59,Low
0.0,1,0.14721369743347168,1,0.0,0.2,0.0,0.08448410034179688,80,40,Low
0.0,1,0.14571166038513184,1,0.0,2.0,0.0,0.000986337661743164,90,47,Low
0.0,1,0.14641612768173218,1,0.0,3.8,0.0,0.001008749008178711,90,48,Low
0.0,1,0.14645636081695557,1,0.0,1.8,0.2,0.010002851486206055,90,46,Low
0.0,1,0.14692574739456177,1,0.0,0.0,0.0,0.12153053283691406,80,40,Low
0.0,1,0.1456913948059082,1,0.0,8.4,0.0,0.0020012855529785156,90,53,Low
0.0,1,0.14533904194831848,1,0.0,5.0,0.0,0.027539968490600586,90,50,Low
0.0,1,0.14742156863212585,1,0.0,0.0,0.0,0.12506675720214844,80,40,Low
0.0,1,0.14546039700508118,1,0.0,0.0,0.2,0.09554147720336914,80,40,Low
0.0,1,0.14647865295410156,1,0.0,0.0,0.2,0.061469316482543945,80,40,Low
0.0,1,0.14566034078598022,1,0.0,0.4,0.0,0.0065233707427978516,80,40,Low
0.0,1,0.14623728394508362,1,0.0,7.4,0.0,0.00799703598022461,90,52,Low
0.0,1,0.14515507221221924,1,0.0,6.8,0.0,0.05836629867553711,90,51,Low
0.0,1,0.14531397819519043,1,0.0,0.0,0.0,0.15391159057617188,80,40,Low
0.0,1,0.14685741066932678,1,0.0,0.0,0.0,0.2495272159576416,80,40,Low
0.0,1,0.14577209949493408,1,0.0,0.0,0.0,0.33803868293762207,80,40,Low
0.0,1,0.14730605483055115,1,0.0,0.0,0.0,0.4479382038116455,80,40,Low
0.0,1,0.14553600549697876,1,0.0,0.0,0.0,0.5412237644195557,80,40,Low
0.0,1,0.14533159136772156,1,0.0,0.0,0.0,0.6474502086639404,80,40,Low
0.0,1,0.14633488655090332,1,0.0,2.0,0.0,0.06313490867614746,90,47,Low
0.0,1,0.1457773745059967,1,0.0,0.0,0.0,0.15864133834838867,80,40,Low
0.0,1,0.14601635932922363,1,0.0,0.0,0.2,0.026567935943603516,80,40,Low
0.0,1,0.1455456018447876,1,0.0,0.0,0.0,0.10795307159423828,80,40,Low
0.0,1,0.14584317803382874,1,0.0,0.0,0.0,0.2269303798675537,80,40,Low
0.0,1,0.1463489830493927,1,0.0,8.8,0.0,0.0029954910278320312,90,53,Low
0.0,1,0.1468164622783661,1,0.0,8.4,0.0,0.004001617431640625,90,53,Low
0.0,1,0.14559191465377808,1,0.0,0.2,0.0,0.06300997734069824,80,40,Low
0.0,1,0.14603883028030396,1,0.0,0.0,0.0,0.2014174461364746,80,40,Low
0.0,1,0.1461372971534729,1,0.0,3.8,0.2,0.0019903182983398438,90,48,Low
0.0,1,0.14535802602767944,1,0.0,16.4,0.0,0.0019998550415039062,90,61,Low
0.0,1,0.14650505781173706,1,0.0,9.2,0.0,0.0,90,54,Low
0.0,1,0.14590692520141602,1,0.0,11.4,0.0,0.009000062942504883,90,56,Low
0.0,1,0.14816245436668396,1,0.0,0.2,0.0,0.009005308151245117,80,40,Low
